商品コード,法人名,商品名,型番,全国平均貸与価格（円）,貸与価格の上限（円）
00020-000015,株式会社セリオ,遊歩用　バスケットホルダーセット,YH-002,993,1060
00020-000016,株式会社セリオ,遊歩用　ステッキホルダーセット,YH-003,991,1060
00020-000017,株式会社セリオ,遊歩用　バックミラー,YH-004,542,620
00020-000034,株式会社セリオ,遊歩パートナー,SBT40,22669,24170
00020-000035,株式会社セリオ,遊歩フレンド,SBT400,19093,22950
00020-000036,株式会社セリオ,遊歩スキップ,SH01,20256,21560
00020-000037,株式会社セリオ,大型フロントバスケット,,1041,1140
00020-000038,株式会社セリオ,バックミラー,410411,673,940
00020-000039,株式会社セリオ,四点杖ホルダー,410324,1040,1150
00020-000040,株式会社セリオ,酸素ボンベキャリーラック,410325,1584,1820
00020-000041,株式会社セリオ,リヤバスケット,,1020,1130
00020-000044,株式会社セリオ,遊歩スマイル,SBT41,23688,24790
00020-000045,株式会社セリオ,遊歩スキップneo,SH02,20278,20950
00020-000048,株式会社セリオ,遊歩フジ,K504,22938,23860
00020-000049,株式会社セリオ,ステッキホルダー　（遊歩フジ用）,,998,1030
00020-000050,株式会社セリオ,大型フロントバスケット（遊歩フジ用）,,1006,1040
00020-000051,株式会社セリオ,多点杖ホルダー（遊歩用）,,1030,1110
00021-000008,竹中エンジニアリング株式会社,ワイヤレス徘徊お知らせお待ちくん設置型受信機セット,HS-W,8432,9600
00021-000024,竹中エンジニアリング株式会社,ワイヤレス徘徊お知らせお待ちくん設置型受信機セット,HS-W68,7691,9410
00021-000044,竹中エンジニアリング株式会社,マットセンサー,M-68,4910,5400
00021-000046,竹中エンジニアリング株式会社,マットセンサー,M-4512,6000,6000
00021-000077,竹中エンジニアリング株式会社,卓上型受信機,ＨＣ-350,3013,3120
00021-000086,竹中エンジニアリング株式会社,マットセンサ送信機,ＴＸ-Ｍ48,4855,5410
00021-000095,竹中エンジニアリング株式会社,携帯型受信機,RXF-60K,3519,4410
00021-000099,竹中エンジニアリング株式会社,ワイヤレス徘徊お知らせお待ちくん（携帯型受信機セット）,HW-M48（KE）,8029,8650
00021-000120,竹中エンジニアリング株式会社,ドア・窓センサーセット開見（あけみ）ちゃん（携帯型受信機）,HCS-115(KE),5156,5360
00025-000012,ナブテスコ株式会社,介助用〈電動補助装置付き〉車いすアシストホイール,NAW-16C-DT-HP,19480,22120
00025-000015,ナブテスコ株式会社,介助用〈電動補助装置付き〉車いす　アシストホイール,NAW-22C-SD-HP,19379,21510
00025-000022,ナブテスコ株式会社,抑速ブレーキ付歩行車　CONPAL,NCR-8A-MA,3651,4010
00025-000023,ナブテスコ株式会社,介助用電動アシスト車いす「アシストホイールライト」,NAW-16F-SD-LT,13448,15300
00025-000024,ナブテスコ株式会社,抑速ブレーキ付前腕支持型歩行車　CONPAL REHAMO（コンパル　リハモ）,NCR-8A-TA,4554,5050
00025-000025,ナブテスコ株式会社,前腕支持型歩行車　REHAMO（リハモ）,NR-8A-TA-**（RC：01 MB：02 LP：03）,3825,4140
00030-000030,株式会社幸和製作所,らくらく４点杖,EA4-101,1049,1250
00030-000031,株式会社幸和製作所,テイコブパセオ,HO001,3083,3420
00030-000069,株式会社幸和製作所,テイコブHO03,HO03,2681,3310
00030-000072,株式会社幸和製作所,テイコブHO02,HO02,3097,3320
00030-000073,株式会社幸和製作所,エルメリッタFB,HO03FB,2905,3100
00030-000090,株式会社幸和製作所,テイコブワゴン,PS-188,3379,3630
00030-000093,株式会社幸和製作所,テイコブファニー,STU01,2456,2810
00030-000097,株式会社幸和製作所,テイコブアルミ製4点杖,EA4-102,989,1100
00030-000099,株式会社幸和製作所,テイコブリトル,HS05,2899,3270
00030-000100,株式会社幸和製作所,テイコブポルタ,STU02,1950,2530
00030-000142,株式会社幸和製作所,テイコブ移乗用介助ベルト,AB31-GR,999,1130
00030-000143,株式会社幸和製作所,テイコブリトル　ハイ,HS05H,2941,3270
00030-000144,株式会社幸和製作所,テイコブリトルR,HS05R,3943,4310
00030-000151,株式会社幸和製作所,コンパクトサイドケイン,HKS01,1326,1580
00030-000157,株式会社幸和製作所,テイコブポルタ,STU02,2385,2950
00030-000158,株式会社幸和製作所,テイコブリトルRF,WAW02,4816,5360
00030-000159,株式会社幸和製作所,テイコブリトルF,WAW03,4072,4510
00030-000163,株式会社幸和製作所,テイコブリトルスリム,WAW04,3014,3290
00030-000165,株式会社幸和製作所,テイコブリトルボンベ,WAW06,4104,4630
00030-000166,株式会社幸和製作所,テイコブリトルホーム,WAW05,3337,3660
00030-000168,株式会社幸和製作所,かるたっち（手置台付き）,HUH02,2407,2810
00030-000171,株式会社幸和製作所,テイコブリトルワゴン,WAW07,3349,3610
00030-000172,株式会社幸和製作所,リトルキーパスS,WAW14,7740,8420
00030-000173,株式会社幸和製作所,テイコブリトルハイⅡ,WAW15-BK/WAW15-RE,2878,3250
00030-000174,株式会社幸和製作所,テイコブリトルボンベ F,WAW17-BK,5042,5720
00030-000175,株式会社幸和製作所,ミケーレ,WAG01,3193,3410
00030-000176,株式会社幸和製作所,ファビオ,CAG01,1003,1050
00030-000187,株式会社幸和製作所,テイコブリトルホームF,WAW18-BR,4041,4430
00030-000189,株式会社幸和製作所,サンティノ,WAG02,3375,3670
00030-000190,株式会社幸和製作所,テイコブリトルワゴンミニ,WAW21,3356,3640
00030-000191,株式会社幸和製作所,つかまりポール,HUH04-WT,2000,2000
00030-000192,株式会社幸和製作所,コの字型手すり,HUP01-WT,995,1050
00030-000194,株式会社幸和製作所,ミシェル,WAW22,3244,3520
00030-000226,株式会社幸和製作所,シトレア,WAW23,3983,4190
00030-000231,株式会社幸和製作所,シトレアR,WAW25,4844,5240
00030-000232,株式会社幸和製作所,つかまり手すり（水廻りタイプ）,HUH09,5838,6280
00054-000005,株式会社モルテン,プライムＤＸ（デラックス）,MPD-CVP、他,4839,5760
00054-000025,株式会社モルテン,アドバン（ノーマルタイプ）,MAD、他,7862,8980
00054-000030,株式会社モルテン,シーポス,MSPBL､他,1858,2140
00054-000032,株式会社モルテン,イージーモーション,MEMV,1126,1310
00054-000033,株式会社モルテン,ケアスライダー,MEMS,1226,1660
00054-000037,株式会社モルテン,ピュアレックス,MPX1583、他,5740,6450
00054-000039,株式会社モルテン,トゥルース（SSモデル）,MTTHSS、他,6148,7360
00054-000042,株式会社モルテン,サイドガード（2本組）,MTTH04DB,421,540
00054-000046,株式会社モルテン,ルフラン（防水・清拭消毒タイプ）,MRF1083、他,1995,2090
00054-000048,株式会社モルテン,プライム　レボ,MPRV83、他,5302,6130
00054-000050,株式会社モルテン,ルフラン（通気・洗浄消毒タイプ）,MRFV1083、他,1958,2090
00054-000054,株式会社モルテン,バディーⅠ,MNTCM、他,2964,3350
00054-000055,株式会社モルテン,サイドバー,MNTCM01LB,864,1090
00054-000056,株式会社モルテン,バディーⅡ/離床支援用手すり（床用）,MNTDA,2563,2970
00054-000057,株式会社モルテン,バディーⅡ/離床支援用手すり（座位用）,MNTDB,2961,3380
00054-000061,株式会社モルテン,丸型ストッパー,MNTCM04BE,518,600
00054-000064,株式会社モルテン,丸型サイドバー,MNTCM05,1033,1150
00054-000065,株式会社モルテン,L型サイドバー90,MNTCM06,1681,2070
00054-000066,株式会社モルテン,L型サイドバー45,MNTCM07,1632,2040
00054-000068,株式会社モルテン,バディーⅣ(立位保持/昇降支援),MNTF,3004,3320
00054-000070,株式会社モルテン,バディーⅥ(昇降支援：トイレ用),MNTH,2298,2680
00054-000081,株式会社モルテン,ソフィアデュオ,SDM、他,1521,1900
00054-000091,株式会社モルテン,ナッソー,MNS83、他,5531,6140
00054-000095,株式会社モルテン,アスディス,ASD,6099,6860
00054-000097,株式会社モルテン,サイドガードPL（2本組）,MMPR01BE、他,518,530
00054-000098,株式会社モルテン,サイドガードPS（1本）,MMPR02BE、他,318,330
00054-000099,株式会社モルテン,ウイングガード,MMPR03BE、他,1969,2260
00054-000100,株式会社モルテン,ソフィアSD,MHASD83、他,2037,2290
00054-000101,株式会社モルテン,ナッキー,MNC83、他,4565,5150
00054-000102,株式会社モルテン,トゥルース-Ⅱ,MTUT91,5510,6450
00054-000104,株式会社モルテン,サイドレールA（1本）,MTUT10DB,275,310
00054-000105,株式会社モルテン,サイドレールB（1本）,MTUT11DB,281,320
00054-000110,株式会社モルテン,トゥルース-Ⅱ（２モーター）,MTUT91M2,5155,6570
00054-000112,株式会社モルテン,セロリ（Aタイプ）,MTYA,1260,1500
00054-000113,株式会社モルテン,セロリ（Bタイプ）,MTYB,1805,2130
00054-000114,株式会社モルテン,ウイングガードＳ,MMPR08BE、他,1861,2290
00054-000115,株式会社モルテン,ステージア,MSTA83、他,7349,7980
00054-000116,株式会社モルテン,ルーツ（サイドタイプ）,MNTPLBR,2146,2480
00054-000117,株式会社モルテン,ルーツ（センタータイプ）,MNTPSBR,2034,2320
00054-000120,株式会社モルテン,レスポ,MRSPNV、他,2149,2410
00054-000121,株式会社モルテン,バディーⅠ（H型固定式セット）,MNTCM2H03BE、他,6704,7990
00054-000122,株式会社モルテン,バディーⅠ（H型跳ね上げ式セット）,MNTCM2H02BE、他,6188,7560
00054-000123,株式会社モルテン,バディーⅠ（サイドバーセットA）,MNTCM101LB、他,3947,4550
00054-000126,株式会社モルテン,バディーⅠ（L型サイドバー90セット）,MNTCM10604BE、他,4367,5240
00054-000127,株式会社モルテン,バディーⅠ（L型サイドバー45セット）,MNTCM10704BE、他,4355,5170
00054-000128,株式会社モルテン,バディーⅠ（床丸型ストッパーセット）,MNTCM104BE、他,2811,3160
00054-000132,株式会社モルテン,ルーツ（コーナータイプ）,MNTPCRBR,2738,3120
00054-000133,株式会社モルテン,ルーツ（ロングタイプ）,MNTPLGBR,2482,2960
00054-000134,株式会社モルテン,イントロ,MIT83、他,1684,2090
00054-000137,株式会社モルテン,オスカー,MOSC83、他,9337,10170
00054-000138,株式会社モルテン,小型丸型ストッパー,MNTCM13,524,610
00054-000139,株式会社モルテン,オスカー（エアタイプ）,MOSC83A、他,8850,9760
00054-000142,株式会社モルテン,ルーツ＜あがりかまちタイプ（高さH型両手すり）＞,MNTPKH2BR,4923,5480
00054-000143,株式会社モルテン,ルーツ＜あがりかまちタイプ（高さH型片手すり）＞,MNTPKH1BR,4105,4560
00054-000144,株式会社モルテン,ルーツ＜あがりかまちタイプ（高さL型両手すり）＞,MNTPKL2BR,4538,5040
00054-000145,株式会社モルテン,ルーツ＜あがりかまちタイプ（高さL型片手すり）＞,MNTPKL1BR,3891,4280
00054-000146,株式会社モルテン,ルーツ＜あがりかまちタイプ（高さH型ステップ台付き両手すり）＞,MNTPKH2SBR,5021,5550
00054-000147,株式会社モルテン,ルーツ＜あがりかまちタイプ（高さH型ステップ台付き片手すり）＞,MNTPKH1SBR,4319,4690
00054-000148,株式会社モルテン,ビクール,MBC1083、他,2044,2350
00054-000159,株式会社モルテン,フィール,MFEL83、他,5589,6110
00054-000160,株式会社モルテン,ライフ／通気・洗浄消毒タイプ,MLFV83LBL、他,2854,3190
00054-000161,株式会社モルテン,ライフ／防水・清拭消毒タイプ,MLF83LBL、他,2995,3300
00054-000170,株式会社モルテン,リーチ／ショートタイプ,MREALＴ,9856,10800
00054-000171,株式会社モルテン,リーチ／ロングタイプ,MREALＴL,9865,10840
00054-000173,株式会社モルテン,インタースロープ10　76cm幅,MSRP1076,512,590
00054-000174,株式会社モルテン,インタースロープ15　76cm幅,MSRP1576,514,590
00054-000175,株式会社モルテン,インタースロープ20　76cm幅,MSRP2076,517,590
00054-000176,株式会社モルテン,インタースロープ25　76cm幅,MSRP2576,522,590
00054-000177,株式会社モルテン,インタースロープ30　76cm幅,MSRP3076,523,590
00054-000178,株式会社モルテン,インタースロープ35　76cm幅,MSRP3576,551,630
00054-000179,株式会社モルテン,インタースロープ40　76cm幅,MSRP4076,566,660
00054-000180,株式会社モルテン,インタースロープ45　76cm幅,MSRP4576,569,660
00054-000181,株式会社モルテン,インタースロープ50　76cm幅,MSRP5076,615,750
00054-000182,株式会社モルテン,インタースロープ55　76cm幅,MSRP5576,862,1050
00054-000183,株式会社モルテン,インタースロープ60　76cm幅,MSRP6076,902,1090
00054-000184,株式会社モルテン,インタースロープ65　76cm幅,MSRP6576,963,1160
00054-000193,株式会社モルテン,インタースロープ15　111cm幅,MSRP15111,599,720
00054-000194,株式会社モルテン,インタースロープ20　111cm幅,MSRP20111,625,770
00054-000195,株式会社モルテン,インタースロープ25　111cm幅,MSRP25111,601,710
00054-000196,株式会社モルテン,インタースロープ30　111cm幅,MSRP30111,633,770
00054-000197,株式会社モルテン,インタースロープ35　111cm幅,MSRP35111,687,840
00054-000198,株式会社モルテン,インタースロープ40　111cm幅,MSRP40111,802,970
00054-000199,株式会社モルテン,インタースロープ45　111cm幅,MSRP45111,829,1000
00054-000200,株式会社モルテン,インタースロープ50　111cm幅,MSRP50111,967,1140
00054-000201,株式会社モルテン,インタースロープ55　111cm幅,MSRP55111,1081,1290
00054-000202,株式会社モルテン,インタースロープ60　111cm幅,MSRP60111,1178,1430
00054-000203,株式会社モルテン,テルサ／防水・清拭消毒タイプ　83cm幅レギュラー,MTLS1283,2413,2710
00054-000204,株式会社モルテン,テルサ／防水・清拭消毒タイプ　91cm幅レギュラー,MTLS1291,2377,2660
00054-000206,株式会社モルテン,テルサ／防水・清拭消毒タイプ　83cm幅ショート,MTLS1283S,2440,2720
00054-000207,株式会社モルテン,テルサ／防水・清拭消毒タイプ　91cm幅ショート,MTLS1291S,2444,2710
00054-000208,株式会社モルテン,テルサ／通気・洗浄消毒タイプ　83cm幅レギュラー,MTLSV1283,2084,2440
00054-000209,株式会社モルテン,テルサ／通気・洗浄消毒タイプ　91cm幅レギュラー,MTLSV1291,2549,2980
00054-000211,株式会社モルテン,テルサ／通気・洗浄消毒タイプ　83cm幅ショート,MTLSV1283S,2506,3010
00054-000212,株式会社モルテン,テルサ／通気・洗浄消毒タイプ　91cm幅ショート,MTLSV1291S,2740,3060
00054-000213,株式会社モルテン,リーチ（スモールタイプ）,MREALTS,9402,10390
00054-000214,株式会社モルテン,スタッフ（サイドタイプ）,MSTFL,2044,2130
00054-000215,株式会社モルテン,スタッフ（センタータイプ）,MSTFS,1983,2200
00054-000216,株式会社モルテン,ルーツ＜スモールタイプ（片手すり）＞,MNTPT1,2727,3090
00054-000217,株式会社モルテン,ルーツ＜スモールタイプ（両手すり）＞,MNTPT2,3236,3570
00054-000218,株式会社モルテン,ルーツ　アウトドア（ロングタイプ）,MNTPOLG,3168,3560
00054-000219,株式会社モルテン,ルーツ　アウトドア＜段差タイプ（両手すり・ステップなし）＞,MNTPOKW,8907,9910
00054-000220,株式会社モルテン,ルーツ　アウトドア＜段差タイプ（両手すり・ステップ1段）＞,MNTPOKW1,9239,10080
00054-000221,株式会社モルテン,ルーツ　アウトドア＜段差タイプ（両手すり・ステップ2段）＞,MNTPOKW2,9104,10210
00054-000222,株式会社モルテン,ルーツ　アウトドア＜段差タイプ（片手すりLH・ステップなし）＞,MNTPOKSL,8487,9580
00054-000223,株式会社モルテン,ルーツ　アウトドア＜段差タイプ（片手すりRH・ステップなし）＞,MNTPOKSR,7988,9620
00054-000228,株式会社モルテン,クロスバー取り付けブラケット,MNTCM03TB,449,580
00054-000272,株式会社モルテン,バディーⅠ（クロスバー跳ね上げ式1.2mセット）,MNTCM102BE、他,3854,5060
00054-000274,株式会社モルテン,バディーⅠ（クロスバー固定式1.2mセット）,MNTCM103BE、他,3876,5240
00054-000277,株式会社モルテン,リーチ （電動式） レギュラータイプ,MREAD,12115,13350
00054-000285,株式会社モルテン,アドバン（ベンチレーションタイプ83cm幅）,MADV83A,8074,9100
00054-000287,株式会社モルテン,アドバン（ベンチレーションタイプ91cm幅）,MADV91A,7985,9070
00054-000296,株式会社モルテン,ピュアレックス１０（防水・清拭消毒タイプ91cm幅）,MPX1091,4433,5200
00054-000299,株式会社モルテン,ピュアレックス１０（通気・洗浄消毒タイプ91cm幅）,MPXV1091,4642,5230
00054-000302,株式会社モルテン,クレイド（ノーマルタイプ83cm幅）,MCRD83A,12280,14200
00054-000303,株式会社モルテン,クレイド（ノーマルタイプ91cm幅）,MCRD91A,10622,12710
00054-000306,株式会社モルテン,ソフィア（防水・清拭消毒タイプ83cm幅）,MHA1083A,2388,2750
00054-000307,株式会社モルテン,ソフィア（防水・清拭消毒タイプ83cm幅ショート）,MHA1083SA,2327,2630
00054-000308,株式会社モルテン,ソフィア（防水・清拭消毒タイプ91cm幅）,MHA1091A,2381,2750
00054-000309,株式会社モルテン,ソフィア（防水・清拭消毒タイプ91cm幅ショート）,MHA1091SA,2336,2650
00054-000310,株式会社モルテン,ソフィア（防水・清拭消毒タイプ100cm幅）,MHA10100A,2496,2900
00054-000311,株式会社モルテン,ソフィア（通気・洗浄消毒タイプ83cm幅）,MHAV1083A,1979,2090
00054-000312,株式会社モルテン,ソフィア（通気・洗浄消毒タイプ83cm幅ショート）,MHAV1083SA,1987,2090
00054-000313,株式会社モルテン,ソフィア（通気・洗浄消毒タイプ91cm幅）,MHAV1091A,2052,2180
00054-000314,株式会社モルテン,ソフィア（通気・洗浄消毒タイプ91cm幅ショート）,MHAV1091SA,2006,2100
00054-000315,株式会社モルテン,ソフィア（通気・洗浄消毒タイプ100cm幅）,MHAV10100A,2267,2600
00054-000328,株式会社モルテン,バディーⅢ（1.8m）,MNTEA,3812,4430
00054-000329,株式会社モルテン,バディーⅢ（1.4m）,MNTEB,3657,4200
00054-000330,株式会社モルテン,バディーⅢ（1.0m）,MNTEC,3527,4120
00054-000332,株式会社モルテン,クロスバー（跳ね上げ式セット60cm）,MNTCM02BE006,1072,1210
00054-000333,株式会社モルテン,クロスバー（跳ね上げ式セット90cm）,MNTCM02BE009,1075,1200
00054-000334,株式会社モルテン,クロスバー（跳ね上げ式セット1.2m）,MNTCM02BE012,1082,1220
00054-000335,株式会社モルテン,クロスバー（跳ね上げ式セット1.6m）,MNTCM02BE016,1125,1290
00054-000336,株式会社モルテン,クロスバー（跳ね上げ式セット2.0m）,MNTCM02BE020,1102,1260
00054-000337,株式会社モルテン,クロスバー（固定式セット40cm）,MNTCM03BE004,1079,1270
00054-000338,株式会社モルテン,クロスバー（固定式セット60cm）,MNTCM03BE006,1047,1140
00054-000339,株式会社モルテン,クロスバー（固定式セット90cm）,MNTCM03BE009,1048,1130
00054-000340,株式会社モルテン,クロスバー（固定式セット1.2m）,MNTCM03BE012,1059,1160
00054-000341,株式会社モルテン,クロスバー（固定式セット1.6m）,MNTCM03BE016,1071,1190
00054-000342,株式会社モルテン,クロスバー（固定式セット2.0m）,MNTCM03BE020,1081,1220
00054-000343,株式会社モルテン,バディーⅤ（1.8m）,MNTGA,4599,5170
00054-000344,株式会社モルテン,バディーⅤ（1.4m）,MNTGB,4478,5010
00054-000345,株式会社モルテン,グランデ（83cm幅）,MGRA83,9670,10880
00054-000346,株式会社モルテン,グランデ（83cm幅ショート）,MGRA83S,9930,10810
00054-000347,株式会社モルテン,グランデ（91cm幅）,MGRA91,9282,10500
00054-000354,株式会社モルテン,インプレス（スタンダードモデル）,MMPR91WN,7994,8330
00054-000357,株式会社モルテン,ソフィアE（通気・洗浄消毒タイプ83cm幅ショート）,MHAV1083SAE,2000,2000
00054-000358,株式会社モルテン,ソフィアE（通気・洗浄消毒タイプ91cm幅）,MHAV1091AE,2000,2010
00054-000359,株式会社モルテン,ソフィアE（通気・洗浄消毒タイプ91cm幅ショート）,MHAV1091SAE,2000,2000
00054-000363,株式会社モルテン,ソフィアE（防水・清拭消毒タイプ91cm幅）,MHA1091AE,2017,2090
00054-000367,株式会社モルテン,バディーⅥ用追加手すり,MNTH01,1092,1230
00054-000368,株式会社モルテン,ルーツスモールタイプ用追加手すり,MNTPT01,950,1100
00054-000376,株式会社モルテン,L型サイドバー90（丸型ストッパーセット）,MNTCM0604BE,1139,1350
00054-000377,株式会社モルテン,L型サイドバー45（丸型ストッパーセット）,MNTCM0704BE,1229,1530
00054-000382,株式会社モルテン,ルーツ　HS＜サイドタイプ＞,MNTPMLBR,2089,2270
00054-000383,株式会社モルテン,ルーツ　HS＜センタータイプ＞,MNTPMSBR,2075,2280
00054-000384,株式会社モルテン,ルーツ　HS＜コーナータイプ＞,MNTPMCRBR,2478,2760
00054-000385,株式会社モルテン,ルーツ　HS＜ロングタイプ＞,MNTPMLGBR,2420,2690
00054-000386,株式会社モルテン,ルーツ　HS＜スモールタイプ（片手すり）＞,MNTPMT1,2720,3190
00054-000387,株式会社モルテン,ルーツ　HS＜スモールタイプ（両手すり）＞,MNTPMT2,3358,3750
00054-000389,株式会社モルテン,ルーツ　HS＜あがりかまちタイプ（高さＨ型片手すり）＞,MNTPMKH1BR,3560,3830
00054-000397,株式会社モルテン,バディⅠ（クロスバー跳ね上げ式90cmセット）,MNTCM102BE9、他,4007,4530
00054-000402,株式会社モルテン,バディⅠ（クロスバー固定式90cmセット）,MNTCM103BE9、他,4251,4820
00054-000403,株式会社モルテン,バディⅠ（クロスバー固定式1.6mセット）,MNTCM103BE16、他,4382,5140
00054-000404,株式会社モルテン,バディⅠ（クロスバー固定式2.0mセット）,MNTCM103BE20、他,4365,5250
00054-000411,株式会社モルテン,リリーフ（BタイプMサイズ）,MRLFBM,1098,1230
00054-000412,株式会社モルテン,サイドバーHS,MNTCMM01LB,1003,1090
00054-000414,株式会社モルテン,バディーＣ,ＭＮＴＣＭ－Ｃ、他,2999,3230
00054-000432,株式会社モルテン,ルーツ エントランス（片手すり）,MNTPOE,7447,8270
00054-000433,株式会社モルテン,ルーツ エントランス（両手すり）,MNTPOE2,9914,11000
00054-000434,株式会社モルテン,ルーツ　アウトドア（サイドタイプ）,MNTPOL,3120,3470
00054-000435,株式会社モルテン,アマンダ（83cm幅レギュラー）,MAMA83,8918,9640
00054-000436,株式会社モルテン,アマンダ（91cm幅レギュラー）,MAMA91,8809,9640
00054-000438,株式会社モルテン,アマンダ（91cm幅ショート）,MAMA91S,8532,9760
00054-000439,株式会社モルテン,パワークッション（ノーマルタイプ）,MPWCL,4788,5260
00054-000467,株式会社モルテン,バディー（コーナーストッパー仕様）,MNTCMCRS,2971,3300
00054-Z00001,株式会社モルテン,バディー１用Ⅰ型ストッパー,ＭＮＴＣＭ０９,501,520
00054-Z00005,株式会社モルテン,サイドガード（１本）,ＭＴＴＨ０４ＤＢ０１,331,430
00054-Z00006,株式会社モルテン,サイドガードＰＬ（ノーマルタイプ・ヘッド側）,ＭＭＰＲ０１ＨＢＥ,320,330
00054-Z00010,株式会社モルテン,サイドレールＡ（２本組）,ＭＴＵＴ１０ＤＢ２,498,520
00055-000070,矢崎化工株式会社,たちあっぷ,CGA-3,2064,2430
00055-000071,矢崎化工株式会社,たちあっぷ,CKA-01,2353,2750
00055-000072,矢崎化工株式会社,たちあっぷ,CKA-02,2510,2980
00055-000073,矢崎化工株式会社,たちあっぷ,CKA-03,2930,3330
00055-000074,矢崎化工株式会社,たちあっぷ,CKA-04,2677,3170
00055-000075,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-01 ベットでとまるくん付,2372,3060
00055-000076,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-02 ベットでとまるくん付,2628,3140
00055-000077,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-03 ベットでとまるくん付,2963,3480
00055-000078,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-04 ベットでとまるくん付,2568,3090
00055-000079,矢崎化工株式会社,トイレ用たちあっぷ,CKB-01,4509,5210
00055-000081,矢崎化工株式会社,たちあっぷ,CKA-05,3886,4910
00055-000083,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CGA-3　ベットでとまるくん付,3188,3660
00055-000086,矢崎化工株式会社,手すり付き ステップ台　両手すり付き,CHD-1A,5053,5210
00055-000099,矢崎化工株式会社,つながるくん,CKA-E60,1226,1470
00055-000100,矢崎化工株式会社,つながるくん,CKA-E90,1299,1580
00055-000101,矢崎化工株式会社,つながるくん,CKA-E120,1316,1600
00055-000104,矢崎化工株式会社,おもしくん,CKA-J,515,580
00055-000105,矢崎化工株式会社,あがりかまち用　たちあっぷ,CKE-01,5178,5890
00055-000106,矢崎化工株式会社,あがりかまち用　たちあっぷ,CKE-02,4458,5000
00055-000107,矢崎化工株式会社,あがりかまち用　たちあっぷ,CKE-03,4689,5350
00055-000108,矢崎化工株式会社,あがりかまち用　たちあっぷ,CKE-04,3963,4320
00055-000109,矢崎化工株式会社,あがりかまち用　たちあっぷ,CKE-01-1,5003,5580
00055-000110,矢崎化工株式会社,あがりかまち用　たちあっぷ,CKE-02-1,4251,4690
00055-000111,矢崎化工株式会社,たちあっぷ,CKA-11,2482,3000
00055-000112,矢崎化工株式会社,たちあっぷ,CKA-12,2642,3230
00055-000113,矢崎化工株式会社,たちあっぷ,CKA-13,2917,3340
00055-000114,矢崎化工株式会社,たちあっぷ,CKA-14,2631,3190
00055-000116,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-12＋ベットでとまるくん付,2636,3140
00055-000117,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-13＋ベットでとまるくん付,3052,3570
00055-000119,矢崎化工株式会社,たちあっぷ,CKA-01-1,2238,2540
00055-000120,矢崎化工株式会社,たちあっぷ,CKA-02-1,2467,2860
00055-000121,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-01-1　ベットでとまるくん付,2707,3120
00055-000122,矢崎化工株式会社,たちあっぷ　ベットでとまるくん付,CKA-02-1　ベットでとまるくん付,2710,3130
00055-000123,矢崎化工株式会社,あがりかまち用たちあっぷミニ　スライドベース付　両手すり,CKG-01,5424,6130
00055-000124,矢崎化工株式会社,あがりかまち用たちあっぷミニ　スライドベース付　片手すり,CKG-02,4608,5160
00055-000125,矢崎化工株式会社,あがりかまち用たちあっぷミニ　両手すり,CKG-03,4887,5460
00055-000126,矢崎化工株式会社,あがりかまち用たちあっぷミニ　片手すり,CKG-04,4091,4460
00055-000127,矢崎化工株式会社,たちあっぷ540　両手すり,CKH-01,9307,10400
00055-000128,矢崎化工株式会社,たちあっぷ540　片手すり,CKH-02,7556,8510
00055-000130,矢崎化工株式会社,トイレ用たちあっぷⅡ,CKJ-01,3172,3380
00055-000133,矢崎化工株式会社,たちあっぷ　ベットでとまるくん・かいじょくん付,CKA-01　ベットでとまるくん・かいじょくん付,3188,3810
00055-000135,矢崎化工株式会社,たちあっぷ　ベットでとまるくん・かいじょくん付,CKA-02　ベットでとまるくん・かいじょくん付,3659,4240
00055-000136,矢崎化工株式会社,たちあっぷ　ベットでとまるくん・かいじょくん付,CKA-02-1　ベットでとまるくん・かいじょくん付,3308,3910
00055-000138,矢崎化工株式会社,たちあっぷ　ベットでとまるくん・かいじょくん付,CKA-04　ベットでとまるくん・かいじょくん付,3561,3930
00055-000145,矢崎化工株式会社,かいじょくん,CKA-K,625,760
00055-000149,矢崎化工株式会社,たちあっぷ　かいじょくん付,CKA-02　かいじょくん付,2858,3310
00055-000150,矢崎化工株式会社,たちあっぷ　かいじょくん付,CKA-02-1　かいじょくん付,3053,3480
00055-000152,矢崎化工株式会社,たちあっぷ　かいじょくん付,CKA-04　かいじょくん付,3295,3770
00055-000157,矢崎化工株式会社,伸縮つながるくん,CKE-D,1470,1750
00055-000175,矢崎化工株式会社,たちあっぷ 伸縮つながるくん・おもしくん付,CKA-01 伸縮つながるくん・おもしくん付,4169,4790
00055-000176,矢崎化工株式会社,たちあっぷ 伸縮つながるくん・おもしくん付,CKA-01-1 伸縮つながるくん・おもしくん付,3919,4630
00055-000185,矢崎化工株式会社,トイレ用たちあっぷⅡ　アングルⅡタイプ,CKJ-02,3456,4010
